id,URL,headline,author,date
0,https://www.theverge.com/2022/9/6/23339068/anker-nano-3-511-usb-c-charger-30w-smaller-cheaper,"Anker’s 30W Nano 3 looks like Apple’s tiny iPhone plug, but it can charge laptops",Umar Shakir,2022-09-06
1,https://www.theverge.com/2022/9/6/23338920/apple-event-invitation-hints-history-deciphered,Decoding the secrets inside Apple’s event invitations,Ethan Morgan,2022-09-06
2,https://www.theverge.com/2022/9/6/23338926/gopro-hero11-black-mini-leaks-session-cameras-rumors,GoPro ‘Mini’ leaks in a nod to the Session cameras of yesterday,Emma Roth,2022-09-06
3,https://www.theverge.com/23309954/apple-iphone-14-event-rumors-announcements-airpods-pro-watch-ios-16-watchos-9,What to expect from Apple’s iPhone 14 event,Emma Roth,2022-09-05
4,https://www.theverge.com/2022/9/6/23338942/amazon-pharmacies-japan-medication-delivery,Amazon’s next healthcare venture may be in Japan,Nicole Wetsman, 
5,https://www.theverge.com/23333063/android-13-wallpaper-google-how-to-color-palette,How to customize your Android 13 Pixel’s color palette ,Barbara Krasnoff,2022-09-06
6,https://www.theverge.com/2022/9/6/23338861/insta360-x3-360-degree-action-camera-release-price-specs-leak,Leaked Insta360 X3 camera has a larger touchscreen and new pre-record feature,Jess Weatherbed,2022-09-06
7,https://www.theverge.com/2022/9/5/23338364/streaming-service-ads-repetition,Streaming services need to stop showing me the same ad over and over (and over),David Pierce,2022-09-05
8,https://www.theverge.com/2022/9/5/23338141/national-cinema-day-jaws-box-office,"Jaws is a box office hit again, 47 years after it first hit theaters",David Pierce,2022-09-05
9,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.", , 
10,https://www.theverge.com/23329415/the-lord-of-the-rings-of-power-review-amazon-prime,Amazon’s The Lord of the Rings: The Rings of Power is small-screen high fantasy done right,Charles Pulliam-Moore,2022-08-31
11,https://www.theverge.com/2022/9/5/23338081/instagram-eu-fine-ireland-kids-data,Instagram was fined $402 million for mishandling teens’ data in the EU,David Pierce,2022-09-05
12,https://www.theverge.com/2022/9/5/23338051/tiktok-denies-reports-hacked-data-breach,TikTok denies reports that it’s been hacked,Emma Roth,2022-09-05
13,https://www.theverge.com/2022/9/5/23338023/gopro-hero-11-black-design-sensor,The GoPro Hero11 Black will reportedly have a new sensor and an old design ,David Pierce,2022-09-05
14,https://www.theverge.com/2022/9/5/23337864/xcel-locked-out-customers-smart-thermostats-colorado-heatwave,A utility company locked thousands of customers out of their smart thermostats in Colorado ,Justine Calma,2022-09-05
15,https://www.theverge.com/2022/9/5/23337974/netflix-arcane-streaming-win-animation-emmy-award-league-of-legends,Netflix’s Arcane is the first streaming series to win an Emmy award for animation,Jess Weatherbed,2022-09-05
16,https://www.theverge.com/2022/9/5/23335898/amazon-irobot-one-medical-ftc-investigation-antitrust,"Amazon’s latest robotics, healthcare buys have the FTC asking more questions",Emma Roth,2022-09-05
17,https://www.theverge.com/2022/9/5/23337730/watch-house-of-the-dragon-free-youtube-now-hbo-max,Psst… you can watch House of the Dragon for free on YouTube right now,Jess Weatherbed, 
18,https://www.theverge.com/2022/9/5/23337648/google-chrome-install-update-security-vulnerability,Google Chrome’s latest update has a security fix you should install ASAP,Justine Calma,2022-09-05
19,https://www.theverge.com/2022/9/5/23311764/apple-iphone-14-event-far-out-2022-live-stream-watch-start-time-how-to,How to watch Apple’s ‘Far Out’ event,Jasmine Hicks,2022-09-05
20,https://www.theverge.com/23334224/twitter-extremism-features-health-research-team-elon-musk-acquisition,Twitter had a new plan to fight extremism — then Elon arrived,Zoe Schiffer,2022-09-02
21,https://www.theverge.com/2022/9/5/23337587/game-console-energy-usage-mode-xbox-standby-instant-on-ps4-switch-compared,Xbox energy saver modes could save you up to £5 per month in the UK,Tom Warren,2022-09-05
22,https://www.theverge.com/2022/9/5/23337584/apple-watch-pro-extra-buttons-rumor,"Leaked Apple Watch Pro cases and drawings hint at extra button, thankfully  ",Thomas Ricker,2022-09-05
23,https://www.theverge.com/2022/9/5/23337570/samsung-galaxy-foldables-phones-smart-watches-new-feature-update-selfie-android,Samsung is bringing new features to its older foldables and smartwatches starting today,Jess Weatherbed,2022-09-05
